	WT_F1	WT_F2	WT_M3	WT_M4	rd10_F4	rd10_F3	rd10_F2	rd10_F1	rd10_M8	rd10_M6	rd10_M7	rd10_M5
4933402C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933402C06Rik	2	11	2	7	7	7	11	2	6	8	7	6
4933402D24Rik	24	49	35	19	48	30	23	31	39	40	33	36
4933402E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933402J07Rik	2	0	0	0	0	0	0	0	0	0	0	0
4933402J10Rik	0	1	1	0	1	1	2	0	3	3	1	0
4933402J15Rik	1	0	0	0	1	1	0	0	0	0	0	0
4933402N03Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933402N22Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933403L11Rik	0	0	0	0	2	1	1	0	0	0	1	0
4933403O08Rik	0	0	0	0	0	0	0	0	0	1	0	0
4933404G15Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933404I11Rik	16	12	21	38	12	23	13	17	12	28	14	31
4933404K08Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933404K13Rik	0	3	0	0	0	0	0	2	2	0	1	0
4933404O12Rik	177	230	208	250	251	218	220	230	278	296	251	282
4933405D12Rik	0	0	4	0	0	4	1	3	2	1	1	0
4933405E24Rik	0	0	0	0	0	1	0	0	0	0	0	0
4933405L10Rik	4	4	7	3	4	2	4	6	4	10	6	3
4933405O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933406B15Rik	1	0	2	1	1	2	3	0	0	0	0	1
4933406B17Rik	7	0	9	2	9	1	1	5	12	3	3	1
4933406C10Rik	12	26	19	24	24	23	15	13	29	23	22	23
4933406D12Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933406F09Rik	1	0	0	0	0	0	0	0	0	0	0	0
4933406G16Rik	0	0	0	0	0	1	0	0	0	0	2	1
4933406I18Rik	11	10	2	13	25	10	15	12	17	19	9	14
4933406J09Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933406J10Rik	58	95	69	106	16	22	20	19	12	20	28	19
4933406K04Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933406L23Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933406P04Rik	29	35	38	50	26	31	11	20	27	19	21	31
4933407E24Rik	0	0	0	0	1	1	0	0	0	0	0	0
4933407I05Rik	0	0	3	0	0	0	0	0	0	0	0	0
4933407I08Rik	1	0	0	0	3	0	0	3	2	1	0	1
4933407K13Rik	138	182	121	145	173	167	140	155	179	163	148	164
4933407L21Rik	19	23	16	15	24	22	25	16	32	29	12	36
4933408A14Rik	3	3	2	3	0	0	1	1	0	0	1	0
4933408J17Rik	4	6	1	8	0	0	0	1	1	2	2	2
4933408N05Rik	3	6	5	2	11	10	7	8	13	23	12	4
4933409D19Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933409F18Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933409G03Rik	0	0	0	0	0	2	0	0	0	0	0	0
4933411E02Rik	0	0	0	0	1	0	0	0	0	0	0	0
4933411E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933411E08Rik	0	1	0	0	0	0	0	1	0	0	1	0
4933411G06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933411K16Rik	6	5	2	4	9	12	11	4	8	6	11	8
4933411O13Rik	0	3	3	1	0	2	0	1	1	1	1	0
4933412A08Rik	3	6	4	6	2	1	1	0	2	1	2	1
4933412E12Rik	80	118	106	87	214	177	150	205	187	173	158	181
4933412E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933412L11Rik	1	1	0	5	7	5	4	2	2	0	1	3
4933412O06Rik	7	4	2	2	12	6	5	6	14	14	5	14
4933413C19Rik	0	1	0	0	1	0	2	1	0	0	0	2
4933413J09Rik	31	40	24	33	36	39	30	41	30	49	27	32
4933413L06Rik	0	3	6	2	1	0	2	3	4	4	2	2
4933414I15Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933415A04Rik	36	29	42	32	45	28	31	39	55	56	43	33
4933415J04Rik	0	0	0	0	0	0	1	1	0	1	0	3
4933416E03Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933416E14Rik	1	0	0	0	0	0	0	0	0	0	0	0
4933416I08Rik	3	2	2	2	6	7	9	4	2	4	4	4
4933416M07Rik	0	0	1	0	0	0	0	0	0	0	0	0
4933416O17Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933417A18Rik	0	0	0	1	1	1	0	0	0	0	0	2
4933417C20Rik	31	27	23	30	4	8	6	13	4	8	12	8
4933417D19Rik	5	9	0	3	4	5	7	2	2	6	4	5
4933417E11Rik	0	0	0	0	1	0	0	0	0	0	0	0
4933417G07Rik	1	0	1	2	1	1	2	2	2	0	0	1
4933417O13Rik	0	0	0	0	1	0	0	0	0	0	1	0
4933421A08Rik	1	0	2	0	5	4	4	3	5	4	1	5
4933421D24Rik	1	6	3	2	0	2	1	1	1	2	1	1
4933421I07Rik	0	1	0	0	0	0	0	0	0	0	0	0
4933421O10Rik	623	760	711	928	530	470	492	623	578	501	477	615
4933422A05Rik	3	1	1	2	2	5	2	2	5	3	2	1
4933423L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933423P22Rik	0	2	2	0	4	1	2	4	1	3	0	5
4933424G05Rik	3	6	2	10	3	2	6	2	1	0	3	2
4933424G06Rik	3	4	7	4	12	15	7	11	10	15	8	18
4933424H11Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933424L21Rik	9	6	2	4	0	0	1	3	1	2	1	2
4933424M12Rik	12	9	11	9	18	13	5	8	17	16	19	6
4933424N20Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933425B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933425D22Rik	3	3	1	3	13	7	2	7	9	14	12	14
4933425M03Rik	2	3	3	5	1	1	0	1	0	0	0	4
4933426B08Rik	6	22	16	18	20	23	16	12	19	25	16	25
4933426K07Rik	16	18	9	13	4	4	3	6	0	5	4	2
4933427D06Rik	0	1	0	0	0	0	0	0	0	0	0	0
4933427D14Rik	8	13	8	15	3	6	8	3	4	8	7	16
4933427E11Rik	5	7	2	17	6	6	8	6	6	9	4	2
4933427E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933427G23Rik	21	22	14	22	21	12	10	18	29	10	13	17
4933427I04Rik	7	10	7	6	8	5	7	2	3	3	4	2
4933427I22Rik	6	1	0	2	3	2	0	5	6	14	5	5
4933427J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933428C19Rik	3	11	8	11	7	4	12	12	8	8	6	12
4933428G20Rik	24	28	29	24	56	39	35	44	43	32	32	35
4933428M09Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933428P19Rik	0	0	0	0	2	0	1	0	2	1	1	1
4933429H19Rik	2	3	2	1	0	0	2	2	2	2	3	1
4933429O19Rik	188	264	193	231	406	340	273	334	448	441	302	291
4933430A20Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933430H06Rik	4	6	2	0	7	1	0	1	4	2	5	0
4933430H16Rik	0	0	0	0	0	0	0	0	1	0	0	0
4933430I17Rik	34	63	50	58	31	24	23	24	21	30	28	37
4933430L12Rik	0	0	0	0	0	0	1	0	0	1	1	0
4933430M04Rik	0	0	0	1	1	1	2	0	1	0	0	0
4933430N04Rik	0	0	1	0	0	0	0	0	0	0	0	0
4933431C10Rik	126	163	129	180	69	75	77	76	60	73	76	67
4933431E20Rik	691	830	745	866	1376	1065	1220	1204	1634	1463	1127	1358
4933431G14Rik	6	0	0	2	12	5	5	2	6	6	3	1
4933431J24Rik	0	3	0	0	0	0	0	2	0	0	0	0
4933431K14Rik	100	93	102	127	140	112	132	153	162	128	117	156
4933431K23Rik	0	3	2	1	2	2	2	0	0	0	2	0
4933431M02Rik	0	0	0	0	0	0	0	0	0	0	0	1
4933432G23Rik	0	1	0	0	0	0	1	0	1	0	0	1
4933432I03Rik	0	1	2	0	0	1	1	2	2	6	4	2
4933432I09Rik	3	3	2	2	3	3	1	4	3	4	5	2
4933432K03Rik	7	9	8	3	2	4	1	3	3	5	4	11
4933433F19Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933433G08Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933433G15Rik	111	142	117	139	54	74	50	56	44	72	61	68
4933433G19Rik	43	26	35	31	50	21	33	45	48	37	30	55
4933433H22Rik	0	0	1	1	0	1	0	1	1	0	0	0
4933433N18Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933434E20Rik	1867	2053	1862	2390	1945	1647	1822	1871	2230	2010	1700	2035
4933434M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933434P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933435E02Rik	0	0	0	1	0	0	0	1	0	0	1	2
4933435F18Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933435G04Rik	0	0	0	0	0	0	0	0	0	0	1	0
4933436E23Rik	1	0	7	1	12	1	7	1	4	0	1	6
4933436F18Rik	0	0	1	0	2	1	3	0	1	0	0	1
4933436H12Rik	0	0	0	0	1	1	0	0	1	0	0	0
4933436I01Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933436I20Rik	0	0	0	3	0	0	0	0	0	0	1	0
4933436N17Rik	0	0	1	2	2	2	2	2	2	1	2	3
4933436P19Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933437G19Rik	2	0	5	1	1	2	0	0	10	1	3	3
4933438A12Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933438B17Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933438K21Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933439C10Rik	254	374	288	316	361	373	353	358	383	388	294	306
4933439J24Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933439K11Rik	3	0	13	4	9	9	6	5	18	7	10	4
4933439N06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933439N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933440J02Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933440M02Rik	1	2	0	0	1	1	1	3	5	7	2	2
4933440N22Rik	12	7	2	8	11	9	9	12	10	13	4	9
5031410I06Rik	1	0	0	0	0	0	1	0	0	0	0	1
5031415H12Rik	2	2	0	0	4	1	1	1	2	5	1	1
5031425E22Rik	1737	2053	1732	2217	1242	1185	1244	1359	1353	1372	1182	1382
5031425F14Rik	2	1	4	0	5	1	0	2	4	4	3	0
5031434C07Rik	0	0	1	0	4	3	1	3	5	3	0	2
5031434O11Rik	66	99	105	122	176	160	154	184	155	159	138	159
5031439G07Rik	2436	2597	2803	2769	4188	2817	3106	3212	4410	3967	3179	3677
5033403F01Rik	9	13	9	15	9	7	7	5	18	11	15	8
5033403H07Rik	0	0	0	0	0	0	0	0	0	0	0	0
5033404E19Rik	0	4	1	4	2	0	5	1	4	3	4	4
5033406O09Rik	4	4	8	3	5	7	7	8	5	6	3	8
5033417F24Rik	40	48	48	65	61	59	52	55	82	75	64	63
5033421B08Rik	16	16	18	19	24	25	24	31	31	31	15	34
5033423K11Rik	0	0	0	0	0	0	0	0	0	0	0	0
5033424D13Rik	0	0	0	1	0	0	2	0	0	1	0	0
5033425B01Rik	1	2	0	1	0	1	2	0	1	3	0	0
5033426E14Rik	9	6	6	8	9	13	18	12	17	15	18	16
5033426O07Rik	0	0	0	0	0	0	0	0	0	0	0	0
5033428I22Rik	0	0	0	0	0	0	0	1	0	0	0	0
5033430I15Rik	392	390	378	451	179	217	230	263	244	263	254	212
5330406M23Rik	1	2	0	1	3	3	1	1	3	1	4	0
5330409N07Rik	0	0	0	0	0	0	0	1	0	0	1	0
5330411J11Rik	2	0	1	0	1	1	0	0	1	0	0	0
5330411O13Rik	1	3	4	1	1	4	3	2	1	3	4	4
5330413D20Rik	1	0	0	0	0	0	0	0	1	0	0	0
5330413P13Rik	552	596	583	777	390	392	483	474	482	520	537	490
5330416C01Rik	0	0	0	0	19	8	9	5	19	9	10	24
5330417C22Rik	519	543	481	622	1087	755	910	1083	1207	1112	804	1106
5330417H12Rik	0	0	0	0	0	0	0	0	0	0	0	0
5330425B07Rik	0	0	0	0	1	2	0	1	0	1	1	1
5330426L24Rik	0	0	0	1	0	1	0	0	1	0	0	0
5330429C05Rik	7	3	7	5	6	7	9	4	7	4	6	5
5330431K02Rik	4	10	8	9	1	8	3	8	3	9	6	8
5330434G04Rik	214	252	253	313	531	485	451	490	632	544	398	506
5330437M03Rik	1	1	0	1	3	0	0	0	0	0	2	0
5330438D12Rik	207	290	243	346	291	210	225	278	257	263	192	280
5330438I03Rik	9	2	4	7	15	17	9	25	12	13	19	10
5330439A09Rik	15	20	7	24	5	5	7	9	4	5	6	7
5330439B14Rik	0	0	0	0	0	0	0	0	1	0	0	0
5330439K02Rik	72	99	50	72	57	54	54	46	59	61	46	46
5330439M10Rik	0	0	0	1	1	0	0	2	0	0	0	1
5430400D12Rik	16	36	22	35	20	21	24	20	14	16	15	16
5430401F13Rik	0	0	0	0	0	0	0	0	0	0	0	0
5430401H09Rik	8	4	6	1	11	9	5	8	8	10	7	4
5430402E10Rik	0	0	0	0	0	0	0	0	0	0	0	0
5430402O13Rik	22	35	33	33	16	18	22	32	31	20	21	26
5430402P08Rik	0	0	0	0	0	0	0	0	1	0	0	0
5430403G16Rik	65	109	53	90	102	82	98	85	125	80	77	118
5430403N17Rik	42	54	26	58	2	5	6	12	4	5	7	8
5430405H02Rik	154	132	126	158	82	92	91	130	132	119	104	137
5430414B19Rik	5	10	5	8	10	4	15	13	16	9	11	10
5430416N02Rik	80	134	64	114	90	84	57	85	81	89	88	97
5430420F09Rik	0	1	0	0	0	4	1	1	2	2	0	1
5430421F17Rik	0	0	0	0	0	1	1	0	0	0	0	0
5430425E15Rik	1	0	3	4	10	10	2	0	12	4	4	3
5430425K12Rik	1	1	1	3	1	0	0	0	1	1	0	0
5430427M07Rik	0	0	0	0	0	0	0	0	0	1	0	0
5430427N15Rik	6	10	6	6	8	6	9	11	6	13	13	10
5430427O19Rik	3	3	1	0	10	5	6	9	12	10	7	14
5430430B14Rik	3	10	2	3	12	8	4	15	8	11	7	2
5430430K15Rik	0	0	0	0	0	0	0	0	1	0	1	0
5430431A17Rik	30	36	21	46	35	40	24	38	53	55	33	28
5430433H01Rik	0	0	0	0	0	0	0	0	0	0	0	0
5430434F05Rik	3	6	2	7	2	0	0	2	2	2	2	2
5430434I15Rik	0	0	0	0	0	0	0	0	0	0	0	0
5430435K18Rik	0	0	0	0	0	0	0	0	3	0	0	1
5430437J10Rik	0	1	0	0	1	1	1	0	1	1	0	0
5430440P10Rik	0	1	2	0	6	1	3	2	1	1	1	2
5530400C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
5530400K19Rik	3	10	1	7	5	7	6	5	5	2	4	4
5530401A14Rik	7	4	3	4	10	11	3	13	10	10	7	6
5530402G07Rik	3	6	3	6	2	3	3	7	5	2	3	5
5530601H04Rik	936	1199	665	851	1341	1041	1235	1106	965	840	721	857
5730403I07Rik	0	2	0	0	0	2	1	1	0	3	1	0
5730405O15Rik	91	140	118	162	93	115	94	114	105	122	92	103
5730408A14Rik	0	0	0	1	3	5	0	0	1	3	2	0
5730409E04Rik	1141	1275	1321	1466	1906	1383	1776	1914	2227	1916	1461	2230
5730412P04Rik	0	0	1	0	1	0	0	1	2	2	0	2
5730414N17Rik	32	32	25	45	12	11	32	14	20	26	18	43
5730416F02Rik	0	0	3	2	0	0	1	0	0	0	1	1
5730419F03Rik	60	76	79	74	145	115	125	110	159	150	110	124
5730420D15Rik	4	6	4	6	19	7	8	12	10	13	8	17
5730435O14Rik	0	0	2	1	0	0	0	0	0	2	0	0
5730437C11Rik	1	0	0	0	0	0	0	0	0	0	0	0
5730455P16Rik	1843	2198	1990	2444	2377	1928	2180	2261	2713	2398	1972	2932
5730460C07Rik	0	0	0	0	0	0	0	0	0	0	0	0
5730480H06Rik	332	416	415	487	359	355	355	357	417	403	311	404
5730488B01Rik	0	0	0	0	0	0	0	0	0	0	0	0
5730507A11Rik	43	31	38	37	64	67	43	48	70	72	44	56
5730507C01Rik	52	58	56	56	237	166	151	217	167	235	161	223
5730521K06Rik	36	50	31	43	43	41	24	25	45	49	36	27
5730522E02Rik	13	14	12	20	29	22	20	23	38	38	13	26
5730585A16Rik	0	0	0	0	0	0	0	0	0	0	0	0
5730596B20Rik	0	0	0	0	0	0	0	0	0	0	0	0
5830405F06Rik	2	0	0	0	0	1	0	0	2	0	0	0
5830408C22Rik	118	150	151	196	31	58	50	77	25	43	62	44
5830411K02Rik	0	0	0	0	0	0	0	0	0	0	0	0
5830411N06Rik	0	0	0	0	0	0	0	0	0	2	0	1
5830415G21Rik	0	0	6	0	2	4	1	2	2	3	1	2
5830416I19Rik	0	0	1	0	0	0	0	0	2	1	1	0
5830417I10Rik	434	574	511	530	555	484	419	554	576	513	533	462
5830418P13Rik	7	4	12	4	8	14	4	7	10	9	7	3
5830426I08Rik	0	0	0	0	0	0	0	0	0	0	0	0
5830428M24Rik	1	1	1	0	1	0	0	1	2	0	0	3
5830432E09Rik	9	6	2	3	6	8	2	7	5	8	2	4
5830437K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
5830444B04Rik	18	18	17	37	29	35	27	35	28	34	21	36
5830444F18Rik	1	1	0	0	0	0	0	0	0	0	0	0
5830448L01Rik	118	174	115	183	60	78	63	76	70	59	96	67
5830454E08Rik	35	42	46	41	38	27	24	39	31	29	29	28
5830462I19Rik	22	26	16	26	14	21	17	22	13	23	17	16
5830462O15Rik	2	1	0	2	0	2	1	2	0	0	2	0
5830468F06Rik	0	0	1	1	3	3	0	2	3	2	1	0
5830487J09Rik	12	5	7	10	12	16	17	10	17	16	8	16
5930403N24Rik	45	73	51	64	73	57	62	74	96	98	72	94
5930409G06Rik	34	45	38	53	57	67	51	64	88	60	53	57
5930420M18Rik	82	79	75	87	97	101	100	84	118	112	68	100
5930430L01Rik	730	990	847	1075	460	479	553	550	500	551	492	734
5930435M05Rik	0	0	0	1	2	1	3	0	2	0	1	0
5930438M14Rik	0	2	2	0	0	0	0	0	0	0	0	0
6030400A10Rik	4	10	7	18	29	20	10	14	18	28	12	14
6030407O03Rik	5	10	7	10	22	11	10	14	11	10	12	14
6030440G07Rik	0	0	0	0	0	0	0	0	0	0	0	0
6030442E23Rik	0	0	0	0	0	0	0	0	0	0	0	0
6030442K20Rik	32	29	36	44	27	33	31	37	40	34	21	33
6030443J06Rik	66	79	52	92	59	51	56	60	72	78	51	49
6030445D17Rik	3	5	6	5	9	5	7	6	14	8	11	7
6030452D12Rik	1	0	1	1	1	2	0	0	0	0	1	1
6030458C11Rik	1584	1868	1511	1918	1525	1258	1473	1512	1727	1674	1377	1620
6030460B20Rik	0	1	0	0	0	0	1	1	0	0	0	2
6030466F02Rik	0	0	0	0	0	0	1	0	1	0	0	0
6030468B19Rik	1	0	0	0	1	0	0	3	1	1	1	0
6030469F06Rik	0	0	0	0	0	1	0	0	0	0	0	0
6030471H07Rik	0	0	0	0	0	0	0	0	0	0	0	0
6030498E09Rik	3	7	0	5	9	5	4	2	3	0	3	8
6230400D17Rik	100	126	75	118	73	104	100	96	107	96	65	85
6330403K07Rik	885	1013	957	1178	1498	1080	1461	1552	1926	1482	1335	1664
6330403L08Rik	189	223	248	251	394	245	289	370	451	379	330	372
6330408M09Rik	71	68	60	68	42	32	43	47	38	40	44	55
6330409D20Rik	13	13	9	11	28	21	18	31	25	34	16	38
6330410L21Rik	0	2	0	6	0	0	2	1	0	0	0	1
6330411D24Rik	22	23	18	15	24	22	17	15	26	29	24	24
6330415B21Rik	0	0	0	0	3	1	0	0	3	4	0	0
6330415G19Rik	54	52	48	38	30	31	52	52	30	28	28	42
6330418K02Rik	42	69	50	63	41	41	41	43	51	54	42	49
6330419E04Rik	0	0	0	1	0	0	0	0	0	1	0	0
6330420H09Rik	1	0	1	2	4	2	2	2	2	4	4	2
6330537M06Rik	0	0	0	0	0	0	0	0	0	0	0	0
6330549D23Rik	51	86	55	77	66	75	55	62	81	80	66	58
6330562C20Rik	5	7	9	10	16	11	17	11	13	7	7	16
6330576A10Rik	2	2	2	6	2	1	1	1	0	0	2	7
6430500D05Rik	4	3	3	2	2	1	6	5	7	7	4	8
6430503K07Rik	0	0	0	0	0	0	0	0	0	0	0	0
6430511E19Rik	280	460	271	345	192	230	166	170	193	250	193	149
6430548M08Rik	13971	15177	14712	15734	25689	18024	21634	25953	26470	23255	20713	25643
6430550D23Rik	56	44	55	80	37	61	50	42	59	57	69	65
6430553K19Rik	0	0	0	0	1	1	0	5	0	1	1	0
6430562O15Rik	632	777	650	848	443	772	799	583	391	774	976	509
6430571L13Rik	1257	1487	1253	1680	644	665	786	802	714	725	779	759
6430573P05Rik	33	42	44	36	40	26	36	42	54	39	48	59
6430584L05Rik	6	3	5	7	5	6	7	5	10	5	6	17
6430590A07Rik	46	50	31	38	10	26	15	20	22	26	27	20
6430628N08Rik	0	0	2	1	2	3	1	3	1	1	2	1
6430710C18Rik	1	1	2	4	1	1	2	0	6	1	2	3
6430710M23Rik	4	14	2	10	15	21	8	16	29	22	11	18
6530401F13Rik	3	2	3	9	10	12	5	9	7	9	1	12
6530402F18Rik	2769	3329	2165	3266	1297	1530	1593	1091	1282	1619	1599	887
6530403H02Rik	0	0	0	0	1	0	0	0	0	0	0	0
6530409C15Rik	24	36	14	35	25	23	20	28	33	32	25	24
6530411M01Rik	3	5	2	2	10	6	3	4	6	2	7	6
6530413G14Rik	12	9	4	11	9	3	7	2	3	8	2	9
6530437J22Rik	0	4	3	1	3	2	1	2	4	9	2	1
6720427I07Rik	275	423	293	365	193	227	184	192	230	227	193	202
6720464F23Rik	2	6	2	4	3	2	3	2	1	0	0	3
6720468P15Rik	69	65	56	76	127	81	88	104	122	123	78	106
6720469O03Rik	1	2	3	0	1	4	4	3	5	2	2	4
6720475M21Rik	2	0	0	2	0	2	3	1	1	1	0	2
6720482G16Rik	0	1	0	0	0	0	0	1	1	0	0	1
6720483E21Rik	3	10	8	7	9	12	10	11	18	17	7	7
6720489N17Rik	54	50	44	47	76	61	56	56	103	75	50	91
6820402A03Rik	47	43	39	58	20	13	23	26	25	25	26	34
6820408C15Rik	48	65	47	61	62	58	63	80	72	71	49	67
6820426E19Rik	0	0	0	0	0	0	0	0	0	0	0	0
6820431F20Rik	384	574	476	656	417	374	396	450	432	482	371	479
7120432I05Rik	0	0	1	0	0	0	0	0	0	0	0	0
7330404K18Rik	6	6	4	6	0	1	3	0	0	3	0	1
7330423F06Rik	1	4	2	0	5	2	4	3	2	2	4	2
7420426K07Rik	0	0	0	0	0	0	0	0	0	0	0	0
7420700N18Rik	0	0	0	0	0	0	0	0	0	0	0	0
7420701I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
7530414M10Rik	2	0	0	3	0	0	0	0	0	1	0	0
7530416G11Rik	0	0	1	1	0	2	0	0	0	0	0	0
7530428D23Rik	3	3	74	3	4	2	2	9	0	1	2	5
7630403G23Rik	0	0	0	0	2	0	0	0	1	0	0	0
8030423F21Rik	52	42	32	38	90	77	86	109	150	129	102	162
8030423J24Rik	0	3	0	0	1	0	0	1	1	0	0	0
8030442B05Rik	0	2	0	0	2	0	0	0	1	0	0	0
8030443G20Rik	0	0	0	0	0	0	0	0	0	0	0	0
8030445P17Rik	0	0	0	0	3	2	1	3	2	3	0	0
8030451A03Rik	3	1	0	0	3	5	6	5	4	4	3	11
8030451O07Rik	0	0	0	0	1	1	0	0	0	0	0	0
8030453O22Rik	9	6	5	7	10	9	7	10	7	12	7	18
8030455M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
8030456M14Rik	35	44	38	55	23	18	23	28	15	22	21	21
8030462N17Rik	167	172	151	185	114	97	105	101	141	132	107	122
8030474K03Rik	0	0	0	0	0	0	2	0	0	0	0	0
8030487O14Rik	2	2	3	1	1	3	2	1	6	0	2	3
8430406P12Rik	21	27	20	29	24	25	18	22	20	26	19	17
8430419K02Rik	19	15	11	17	5	5	9	12	9	23	10	28
8430422H06Rik	0	0	0	0	0	0	0	0	0	0	0	0
8430422M14Rik	159	261	157	231	170	192	154	150	233	238	165	158
8430423G03Rik	3	2	2	0	1	2	0	2	2	2	0	6
8430426J06Rik	1	7	1	1	18	15	12	3	13	8	8	11
8430429K09Rik	119	165	157	164	171	122	174	180	177	149	142	179
8430430B14Rik	0	1	0	0	0	0	0	0	0	0	1	0
8430432A02Rik	27	22	29	41	17	25	9	23	21	17	15	17
8430436N08Rik	1	0	0	0	0	0	0	0	0	0	0	0
8430437L04Rik	0	0	0	0	0	0	1	0	0	1	0	0
9030025P20Rik	91	113	81	96	78	80	97	93	99	96	82	98
9030204H09Rik	1	1	0	3	0	4	0	1	1	2	1	0
9030404E10Rik	5	8	3	3	9	13	4	10	13	8	9	18
9030407P20Rik	71	98	85	98	87	75	68	107	108	121	74	115
9030607J07Rik	0	0	0	0	1	1	0	0	0	0	0	0
9030612E09Rik	31	42	38	39	72	53	62	60	89	73	64	89
9030616G12Rik	0	0	0	0	0	0	0	0	0	0	0	0
9030619P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
9030622O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
9030624G23Rik	87	117	101	93	276	186	157	253	250	301	222	236
9030625G05Rik	59	83	55	66	119	105	88	120	118	77	86	71
9130002K18Rik	3	7	4	13	0	8	5	5	6	5	5	2
9130008F23Rik	13	17	32	16	31	21	17	18	23	14	19	26
9130015A21Rik	1	0	0	1	0	0	2	2	1	1	2	3
9130015G15Rik	1	1	6	3	2	5	6	5	3	2	0	4
9130015L21Rik	2	1	2	0	18	28	17	17	27	21	22	23
9130016M20Rik	1	1	1	0	0	0	1	2	2	1	1	3
9130017K11Rik	0	2	0	2	0	3	0	1	1	0	1	3
9130019O22Rik	149	184	187	200	198	146	174	182	210	177	206	232
9130019P16Rik	4	6	3	3	5	3	6	10	10	10	2	11
9130023H24Rik	329	395	338	402	224	238	248	221	212	230	211	238
9130024F11Rik	33	25	19	34	39	21	35	38	44	27	24	66
9130204K15Rik	2	1	0	0	2	3	0	0	0	2	0	1
9130208D14Rik	1	3	2	2	0	1	1	2	1	0	0	1
9130209A04Rik	0	0	0	0	0	0	0	1	0	0	0	0
9130213A22Rik	8	3	10	6	14	10	8	8	15	9	10	13
9130214F15Rik	0	0	0	0	1	1	1	1	0	3	0	0
9130221F21Rik	1	0	0	1	0	0	2	0	1	0	1	2
9130221H12Rik	65	75	66	74	63	50	68	38	57	62	69	73
9130227L01Rik	12	15	13	22	0	0	0	1	1	0	1	1
9130230L23Rik	0	0	0	0	0	0	0	0	0	0	0	0
9130230N09Rik	6	6	3	15	16	7	12	18	16	12	9	22
9130401M01Rik	56	60	46	70	72	70	84	73	112	79	79	85
9130409I23Rik	3	4	2	2	2	2	2	1	1	2	3	1
9130410C08Rik	0	0	0	0	0	0	0	0	0	0	2	1
9130604C24Rik	37	31	29	33	30	35	21	40	45	43	28	49
9230009I02Rik	1	5	1	7	6	5	5	5	7	4	6	4
9230019H11Rik	0	0	0	0	0	0	0	0	0	0	0	0
9230020A06Rik	1	1	6	0	7	3	1	2	3	3	2	1
9230102K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
9230102O04Rik	0	0	0	0	0	0	0	0	0	0	0	0
9230104M06Rik	1	6	5	5	4	0	1	5	3	5	0	1
9230105E05Rik	5	2	15	0	2	0	4	5	7	8	2	15
9230106D20Rik	0	0	0	0	0	0	0	1	0	0	0	0
9230109A22Rik	0	0	1	0	0	1	1	0	1	1	0	0
9230110F11Rik	0	0	0	0	0	0	0	0	0	0	0	0
9230111E07Rik	1	0	2	3	7	5	2	5	0	6	0	0
